route_long_name,B-dul Muncii - P-ta Garii
service_name,Luni - Vineri
service_start,16.10.2023
in_stop_name,Disp. Tram CUG
out_stop_name,P-ta Garii Vechi
06:14,06:30
06:52,07:09
07:30,07:48
08:16,08:34
08:53,09:10
09:07,09:24
09:21,09:38
09:35,09:52
09:50,10:07
10:05,10:22
10:20,10:37
10:35,10:52
10:50,11:07
11:05,11:22
11:20,11:37
11:35,11:52
11:50,12:07
12:05,12:22
12:20,12:38
12:35,12:53
12:50,13:10
13:04,13:23
13:17,13:36
13:29,13:48
14:00,14:21
14:19,14:40
14:40,15:02
15:02,15:24
15:26,15:48
15:50,16:12
16:14,16:36
16:38,17:00
17:02,17:24
17:28,17:49
17:52,18:14
18:07,18:28
18:34,18:53
19:13,19:31
19:50,20:07
20:26,20:43
21:02,21:18



