route_long_name,Str. Bucium - P-ta Garii
service_name,Luni-Vineri
service_start,19.09.2023
in_stop_name,Disp. Bucium
out_stop_name,P-ta Garii Noi
04:45,05:05
04:55,05:15
05:05,05:25
05:15,05:35
05:25,05:45
05:35,05:55
05:45,06:05
05:55,06:15
06:05,06:25
06:10,06:31
06:15,06:36
06:20,06:41
06:25,06:46
06:30,06:51
06:35,06:56
06:40,07:01
06:45,07:06
06:50,07:11
06:55,07:16
07:00,07:22
07:05,07:28
07:10,07:33
07:15,07:39
07:20,07:45
07:25,07:52
07:30,07:57
07:35,08:02
07:40,08:07
07:46,08:12
07:52,08:18
07:58,08:24
08:04,08:30
08:10,08:36
08:16,08:42
08:22,08:48
08:28,08:53
08:34,08:58
08:40,09:04
08:46,09:10
08:53,09:16
09:00,09:23
09:07,09:30
09:15,09:38
09:22,09:45
09:30,09:53
09:37,10:00
09:45,10:08
09:52,10:15
10:00,10:23
10:07,10:30
10:15,10:38
10:22,10:45
10:30,10:53
10:37,11:00
10:45,11:08
10:52,11:15
11:00,11:23
11:07,11:30
11:15,11:38
11:22,11:45
11:30,11:53
11:37,12:00
11:45,12:08
11:52,12:15
12:00,12:23
12:07,12:30
12:15,12:38
12:22,12:45
12:30,12:53
12:37,13:00
12:44,13:07
12:50,13:13
12:56,13:19
13:02,13:25
13:08,13:31
13:14,13:37
13:20,13:43
13:26,13:49
13:32,13:55
13:38,14:01
13:44,14:07
13:50,14:13
13:56,14:19
14:02,14:25
14:08,14:31
14:14,14:37
14:20,14:43
14:26,14:49
14:32,14:55
14:38,15:01
14:44,15:07
14:50,15:13
14:56,15:19
15:02,15:25
15:08,15:31
15:14,15:37
15:20,15:43
15:26,15:49
15:32,15:55
15:38,16:01
15:44,16:07
15:50,16:13
15:56,16:19
16:02,16:25
16:08,16:31
16:14,16:37
16:20,16:43
16:26,16:49
16:32,16:55
16:38,17:01
16:44,17:07
16:50,17:13
16:56,17:19
17:02,17:25
17:08,17:31
17:14,17:37
17:20,17:43
17:26,17:49
17:32,17:55
17:38,18:01
17:44,18:07
17:50,18:13
17:56,18:19
18:02,18:25
18:08,18:31
18:14,18:37
18:20,18:43
18:26,18:49
18:32,18:55
18:38,19:01
18:45,19:08
18:52,19:15
19:00,19:23
19:07,19:30
19:15,19:38
19:22,19:45
19:30,19:53
19:37,20:00
19:45,20:08
19:52,20:15
20:00,20:22
20:07,20:29
20:15,20:37
20:22,20:44
20:30,20:52
20:37,20:59
20:45,21:07
20:52,21:14
21:00,21:22
21:10,21:32
21:21,21:43
21:32,21:54
21:43,22:05
21:53,22:15
22:03,22:25
22:14,22:35
22:25,22:46
22:37,22:57
