route_long_name,Str. Bucium - B-dul Muncii
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Disp. Bucium
out_stop_name,Disp. Tram CUG
04:25,05:23
04:45,05:37
04:55,06:05
05:15,06:13
05:25,06:21
05:35,06:32
05:45,06:43
05:55,07:05
06:15,07:15
06:25,07:25
06:35,07:36
06:45,07:47
06:55,08:09
07:15,08:20
07:25,08:32
07:34,08:46
07:43,09:14
07:52,09:28
08:13,09:42
08:24,09:57
08:35,10:12
08:46,10:27
09:00,10:42
09:15,10:57
09:30,11:12
09:45,11:27
10:00,11:42
10:15,11:57
10:30,12:12
10:45,12:27
11:00,12:42
11:15,12:57
11:30,13:11
11:45,13:23
12:00,13:34
12:15,14:14
12:30,14:34
12:42,14:45
12:51,14:56
13:14,15:08
13:42,15:32
13:55,15:44
14:08,15:56
14:19,16:08
14:42,16:20
14:53,16:32
15:05,16:44
15:16,16:56
15:28,17:08
15:40,17:21
15:52,17:34
16:04,17:47
16:16,18:00
16:28,18:13
16:40,18:26
16:52,18:39
17:04,18:52
17:17,19:05
17:30,19:18
17:43,19:31
17:56,19:43
18:09,19:55
18:22,20:07
18:35,20:19
18:48,20:31
19:00,20:43
19:12,20:55
19:24,21:08
19:35,21:21
19:46,21:34
19:58,21:47
20:10,22:00
20:22,22:26
20:34,22:40
20:48,	
21:00,	
21:12,	
21:33,	
21:43,	
21:53,	
22:04,	
22:26,	
22:38,	
