route_long_name,Str. Bucium - B-dul Muncii
service_name,Luni - Vineri
service_start,11.10.2023
in_stop_name,Disp. Clabucet
out_stop_name,B-dul Muncii
05:05,05:42
05:26,06:02
05:50,06:30
06:07,06:42
06:19,06:58
06:40,07:20
07:11,07:55
07:22,08:10
07:41,08:25
08:08,08:50
08:40,09:22
09:01,09:42
09:20,10:02
10:06,10:45
10:43,11:25
11:29,12:10
12:09,12:50
12:33,13:10
12:52,13:32
13:13,13:54
13:34,14:12
13:56,14:36
14:17,14:55
14:39,15:17
14:59,15:40
15:22,16:08
15:44,16:35
16:07,17:05
16:29,17:20
16:57,17:40
17:25,18:08
17:51,18:35
18:19,19:00
18:00,19:35
19:58,20:15
20:22,21:05
21:09,21:45
21:45,22:15
