route_long_name,P-ta M. Viteazul - Str. Edgar Quinet
service_name,Luni - Vineri
service_start,29.09.2023
in_stop_name,Pod Traian
out_stop_name,E. Quinet Sud
05:10,05:30
05:55,06:00
06:25,06:20
06:45,06:35
06:55,06:47
07:12,06:57
07:22,07:08
07:45,07:18
08:07,07:32
08:25,08:10
08:55,08:32
09:10,08:50
09:30,09:15
10:00,09:35
10:30,10:00
10:55,10:30
11:20,10:55
11:45,11:20
12:15,11:45
12:45,12:15
13:15,12:45
13:40,13:15
14:10,13:40
14:25,13:55
14:40,14:10
15:10,14:40
15:25,14:55
15:40,15:10
16:10,15:40
16:30,15:55
16:45,16:10
17:10,16:40
17:30,17:00
17:45,17:15
18:10,17:40
18:30,18:00
18:45,18:15
19:10,18:40
19:35,19:10
20:00,19:35
20:25,20:00
20:50,20:25
21:40,21:15
22:27,22:05

