route_long_name,Str. Bucium - P-ta 1 Mai
service_name,Luni - Vineri
service_start,11.10.2023
in_stop_name,Disp. Clabucet
out_stop_name,P-ta 1 Mai
05:01,05:24
05:08,05:32
05:15,05:38
05:21,05:44
05:27,05:50
05:34,05:58
05:42,06:06
05:51,06:15
06:01,06:25
06:11,06:35
06:17,06:43
06:26,06:52
06:34,07:00
06:42,07:09
06:51,07:21
06:59,07:35
07:10,07:47
07:19,07:57
07:26,08:07
07:35,08:15
07:47,08:25
08:01,08:35
08:13,08:45
08:26,09:00
08:36,09:10
08:46,09:20
08:58,09:31
09:09,09:42
09:22,09:52
09:32,10:02
09:44,10:12
09:53,10:23
10:05,10:33
10:17,10:43
10:29,10:55
10:38,11:07
10:50,11:18
11:03,11:30
11:15,11:42
11:26,11:54
11:38,12:06
11:50,12:18
12:02,12:30
12:12,12:42
12:23,12:52
12:34,13:03
12:46,13:13
12:57,13:24
13:08,13:36
13:19,13:47
13:31,13:59
13:38,14:06
13:44,14:12
13:54,14:22
14:04,14:32
14:16,14:43
14:27,14:55
14:37,15:05
14:45,15:11
14:54,15:21
15:02,15:30
15:14,15:41
15:24,15:51
15:32,16:00
15:42,16:10
15:54,16:21
16:04,16:32
16:16,16:43
16:26,16:54
16:37,17:05
16:47,17:16
16:59,17:27
17:09,17:38
17:22,17:50
17:34,18:02
17:47,18:14
17:59,18:26
18:11,18:38
18:22,18:50
18:35,19:03
18:47,19:17
19:01,19:30
19:14,19:43
19:28,19:56
19:41,20:11
19:55,20:25
20:14,20:45
20:43,21:10
21:15,21:40
21:46,22:10
22:17,22:40
