route_long_name,P-ta Stefan cel Mare - Col. Borhanci
service_name,Luni-Vineri
service_start,27.09.2023
in_stop_name,Opera
out_stop_name,Biserica Borhanci Est
06:10,05:45
06:30,06:10
06:50,06:30
07:15,06:55
07:50,07:02
08:10,07:08
08:45,07:32
09:05,08:20
09:30,08:40
09:45,09:05
10:10,09:50
10:55,10:10
11:40,10:35
12:10,11:20
12:30,12:05
12:55,12:35
13:20,12:55
13:35,13:25
13:50,13:55
14:20,14:10
14:50,14:30
15:15,14:50
15:40,15:15
16:15,15:50
16:35,16:10
17:10,16:45
17:35,17:10
18:10,17:45
18:25,18:00
18:50,18:30
19:30,18:50
20:00,19:10
20:20,20:00
21:10,20:20
21:35,20:45
22:05,21:40
,22:05

