route_long_name,P-ta M. Viteazul - Cart. Buna Ziua
service_name,Luni-Vineri
service_start,10.10.2023
in_stop_name,P-ta M. Viteazul Vest
out_stop_name,Dacia Service
05:05,05:05
05:25,05:25
05:45,05:45
06:00🚲,06:10
06:10,06:23🚲
06:20,06:35
06:30,06:45
06:37🚲,06:55
06:44🚲,07:00
06:52,07:05🚲
07:00,07:10🚲
07:10,07:15
07:21,07:26
07:32🚲,07:37
07:43🚲,07:51
07:55,08:05🚲
08:08,08:16🚲
08:22,08:27
08:35,08:38
08:45🚲,08:50
08:55🚲,09:02
09:05,09:12🚲
09:15,09:22🚲
09:26,09:32
09:40🚲,09:42
09:54🚲,09:52
10:08,10:06🚲
10:22,10:20🚲
10:35🚲,10:34
10:48🚲,10:48
11:01,11:00🚲
11:13,11:13🚲
11:25🚲,11:26
11:40🚲,11:38
11:58,11:50🚲
12:16🚲,12:08🚲
12:34🚲,12:26
12:50,12:44🚲
13:01,13:00🚲
13:09🚲,13:15
13:17,13:27
13:25🚲,13:37🚲
13:35,13:47
13:45,13:57🚲
13:55,14:07
14:05🚲,14:17
14:15,14:27
14:25🚲,14:37🚲
14:35,14:47
14:45,14:57🚲
14:55,15:07
15:05🚲,15:17
15:15,15:27
15:25🚲,15:37🚲
15:35,15:47
15:45,15:57🚲
15:55,16:07
16:05🚲,16:17
16:15,16:27
16:25🚲,16:37🚲
16:35,16:47
16:45,16:57🚲
16:55,17:07
17:05🚲,17:17
17:15,17:27
17:25🚲,17:37🚲
17:35,17:47
17:45,17:58🚲
17:55,18:08
18:05🚲,18:18
18:15,18:28
18:28🚲,18:38🚲
18:40,18:49
18:52,19:00
19:05🚲,19:20
19:25🚲,19:35
19:40,19:50
20:00🚲,20:05
20:15🚲,20:25
20:30,20:40
20:50🚲,20:55
21:10🚲,21:10🚲
21:35🚲,21:35🚲
22:00🚲,22:00🚲
22:20🚲,22:20🚲
22:40🚲,22:40🚲
