route_long_name,P-ta M. Viteazul - B-dul Muncii
service_name,Luni - Vineri
service_start,18.09.2023
in_stop_name,I.P. Voitesti Nord
out_stop_name,Disp. ERS CUG
05:35,06:10
06:32,07:05
07:28,08:05
08:30,09:00
08:50,09:25
09:25,09:55
09:50,10:20
10:20,10:45
10:45,11:10
11:10,11:35
11:35,12:00
12:00,12:25
12:25,12:50
12:50,13:20
13:15,13:45
13:45,14:15
14:10,14:40
14:40,15:10
15:05,15:40
15:35,16:05
16:05,16:35
16:30,17:05
17:30,18:05
18:30,19:07
19:30,20:00
20:20,20:50
21:10,21:40

