route_long_name,Str. Unirii - VIVO! Cluj-Napoca
service_name,Luni-Vineri
service_start,10.10.2023
in_stop_name,Disp. Unirii
out_stop_name,VIVO! Cluj-Napoca
05:09,05:38
05:30,06:05
05:50,06:20
06:05,06:40
06:10,06:46
06:15,06:56
06:25,07:01
06:30,07:06
06:35,07:12
06:45,07:18
06:51,07:24
06:58,07:31
07:06,07:38
07:13,07:46
07:19,07:53
07:25,07:59
07:31,08:05
07:36,08:11
07:42,08:17
07:48,08:23
07:55,08:29
08:02,08:35
08:09,08:42
08:14,08:49
08:21,08:55
08:29,09:01
08:36,09:06
08:43,09:12
08:50,09:18
08:56,09:24
09:02,09:30
09:10,09:36
09:17,09:43
09:24,09:50
09:31,09:57
09:38,10:04
09:45,10:11
09:53,10:18
10:00,10:25
10:07,10:33
10:14,10:40
10:22,10:47
10:30,10:54
10:37,11:02
10:44,11:10
10:51,11:17
10:58,11:24
11:05,11:31
11:13,11:38
11:21,11:45
11:29,11:53
11:37,12:01
11:44,12:08
11:51,12:15
11:59,12:23
12:06,12:31
12:13,12:39
12:20,12:46
12:27,12:53
12:34,13:00
12:41,13:07
12:48,13:14
12:55,13:21
13:02,13:28
13:09,13:35
13:16,13:42
13:23,13:50
13:30,13:58
13:36,14:05
13:42,14:12
13:49,14:18
13:55,14:24
14:01,14:31
14:07,14:37
14:13,14:44
14:20,14:51
14:27,14:57
14:34,15:04
14:41,15:11
14:48,15:18
14:55,15:25
15:01,15:32
15:07,15:39
15:14,15:46
15:20,15:52
15:26,15:59
15:33,16:05
15:39,16:11
15:45,16:18
15:51,16:24
15:58,16:30
16:05,16:36
16:12,16:43
16:19,16:50
16:25,16:57
16:32,17:04
16:38,17:11
16:45,17:18
16:51,17:25
16:58,17:32
17:04,17:38
17:10,17:45
17:16,17:51
17:22,17:57
17:30,18:03
17:37,18:09
17:44,18:16
17:52,18:23
18:00,18:30
18:08,18:37
18:16,18:44
18:23,18:51
18:30,18:58
18:38,19:05
18:46,19:12
18:54,19:20
19:02,19:28
19:10,19:36
19:20,19:44
19:30,19:52
19:40,20:00
19:50,20:08
20:00,20:16
20:10,20:25
20:20,20:35
20:30,20:45
20:45,20:55
21:00,21:05
21:15,21:15
21:30,21:30
21:45,21:45
22:00,22:05
22:10,22:15
,22:40
	




