route_long_name,Cart. Grigorescu - P-ta Garii
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Disp. Grigorescu
out_stop_name,P-ta Garii Sud
05:00,05:13
05:14,05:28
05:28,05:43
05:44,05:59
06:05,06:20
06:20,06:35
06:40,06:55
06:53,07:10
07:05,07:25
07:20,07:40
07:32,07:52
07:50,08:10
08:20,08:40
08:37,08:55
08:55,09:17
09:17,09:35
09:40,09:55
10:05,10:20
10:30,10:45
10:55,11:10
11:15,11:30
11:40,11:55
12:00,12:15
12:25,12:40
12:45,13:00
13:05,13:20
13:25,13:40
13:50,14:05
14:05,14:20
14:20,14:35
14:35,14:50
14:50,15:05
15:05,15:20
15:20,15:35
15:35,15:50
15:50,16:05
16:05,16:20
16:20,16:35
16:40,16:55
17:00,17:15
17:20,17:35
17:40,17:55
18:05,18:20
18:35,18:50
19:00,19:15
19:20,19:35
19:40,19:55
20:00,20:15
20:20,20:35
20:40,20:55
21:00,21:15
21:20,21:35
21:55,22:10
22:45,23:00
