route_long_name,Cart. Grigorescu - Str. Aurel Vlaicu
service_name,Luni-Vineri
service_start,29.09.2023
in_stop_name,Disp. Grigorescu
out_stop_name,Disp. IRA
04:58,05:05
05:07,05:15
05:16,05:25
05:25,05:35
05:35,05:45
05:45,05:55
05:55,06:05
06:05,06:15
06:15,06:25
06:25,06:35
06:35,06:45
06:43,06:55
06:50,07:03
06:56,07:10
07:03,07:17
07:09,07:23
07:14,07:28
07:19,07:32
07:24,07:37
07:29,07:42
07:34,07:48
07:41,07:54
07:49,08:00
07:57,08:07
08:05,08:14
08:10,08:22
08:16,08:30
08:22,08:38
08:28,08:46
08:34,08:52
08:41,08:58
08:48,09:04
08:55,09:10
09:02,09:16
09:09,09:22
09:16,09:28
09:23,09:35
09:30,09:41
09:37,09:48
09:44,09:55
09:51,10:02
09:58,10:09
10:05,10:16
10:12,10:23
10:19,10:30
10:26,10:37
10:33,10:44
10:40,10:51
10:47,10:58
10:54,11:05
11:01,11:12
11:08,11:19
11:15,11:26
11:22,11:33
11:29,11:40
11:35,11:47
11:42,11:54
11:49,12:00
11:56,12:06
12:03,12:11
12:10,12:17
12:17,12:24
12:24,12:31
12:31,12:38
12:38,12:45
12:45,12:52
12:52,12:59
12:59,13:06
13:06,13:13
13:13,13:20
13:19,13:27
13:25,13:34
13:30,13:41
13:36,13:48
13:42,13:54
13:48,14:00
13:54,14:06
14:00,14:12
14:06,14:18
14:12,14:24
14:18,14:30
14:24,14:36
14:30,14:42
14:37,14:48
14:44,14:54
14:50,15:00
14:56,15:06
15:02,15:13
15:08,15:20
15:14,15:26
15:20,15:32
15:26,15:38
15:33,15:45
15:39,15:52
15:46,16:00
15:53,16:07
16:00,16:14
16:07,16:21
16:14,16:28
16:21,16:35
16:28,16:43
16:35,16:51
16:42,16:59
16:48,17:06
16:54,17:14
17:01,17:22
17:08,17:30
17:16,17:38
17:24,17:46
17:32,17:54
17:40,18:02
17:48,18:10
17:56,18:18
18:04,18:26
18:10,18:34
18:16,18:42
18:24,18:50
18:32,18:58
18:40,19:06
18:48,19:14
18:56,19:22
19:04,19:30
19:12,19:38
19:20,19:45
19:28,19:52
19:37,19:59
19:46,20:08
19:55,20:17
20:05,20:26
20:15,20:36
20:25,20:46
20:35,20:56
20:45,21:07
20:55,21:18
21:05,21:30
21:15,21:45
21:30,22:00
21:45,22:15
22:00,22:30
22:15,22:42
22:30,
22:45,



