route_long_name,P-ta M. Viteazul - Calea Baciului
service_name,Luni-Vineri
service_start,18.10.2023
in_stop_name,P-ta M. Viteazul Est
out_stop_name,Napolact
04:45,04:52
04:56,05:03
05:06,05:14
05:16,05:24
05:26,05:34
05:36,05:44
05:46,05:54
05:55,06:04
06:04,06:14
06:14,06:24
06:23,06:34
06:28,06:43
06:33,06:50
06:37,06:55
06:41,07:00
06:45,07:04
06:49,07:08
06:55,07:12
07:04,07:19
07:13,07:27
07:24,07:38
07:35,07:52
07:44,08:04
07:53,08:10
08:01,08:16
08:12,08:24
08:24,08:36
08:36,08:46
08:47,08:56
08:58,09:07
09:06,09:18
09:14,09:26
09:22,09:34
09:31,09:43
09:40,09:52
09:49,10:02
09:58,10:11
10:08,10:21
10:17,10:30
10:27,10:40
10:36,10:50
10:46,10:59
10:55,11:09
11:04,11:18
11:14,11:27
11:23,11:37
11:32,11:46
11:42,11:55
11:51,12:05
12:01,12:14
12:10,12:24
12:20,12:33
12:29,12:43
12:38,12:52
12:48,13:02
12:58,13:12
13:06,13:22
13:14,13:33
13:21,13:40
13:28,13:47
13:35,13:53
13:42,14:00
13:50,14:07
13:58,14:14
14:04,14:22
14:12,14:31
14:19,14:37
14:26,14:44
14:33,14:51
14:40,14:58
14:48,15:05
14:56,15:13
15:03,15:21
15:12,15:28
15:20,15:37
15:28,15:48
15:37,15:53
15:44,16:04
15:52,16:10
16:00,16:20
16:09,16:28
16:18,16:37
16:29,16:48
16:40,17:03
16:50,17:13
17:00,17:25
17:11,17:35
17:22,17:44
17:33,17:53
17:45,18:03
17:57,18:13
18:08,18:23
18:20,18:33
18:30,18:43
18:40,18:53
18:50,19:03
19:00,19:12
19:10,19:22
19:20,19:31
19:30,19:40
19:39,19:50
19:48,19:59
19:57,20:09
20:06,20:17
20:15,20:25
20:25,20:35
20:35,20:45
20:45,20:55
20:55,21:05
21:05,21:15
21:15,21:25
21:25,21:35
21:36,21:45
21:52,22:00
22:07,22:12
22:20,22:25
22:43,22:45



