route_long_name,Str. C. Brancusi - P-ta Garii
service_name,Luni-Vineri
service_start,10.10.2023
in_stop_name,Disp. Alverna
out_stop_name,P-ta Garii Sud
05:16,05:34
06:00,06:18
06:19,06:38
06:37,06:53
07:13,07:35
08:14,08:40
08:39,09:06
09:07,09:29
09:32,09:54
09:52,10:15
10:20,10:42
10:47,11:09
11:12,11:34
11:38,12:00
12:04,12:26
12:30,12:52
12:53,13:15
13:15,13:38
13:42,14:05
14:03,14:28
14:30,14:55
14:58,15:23
16:00,16:25
16:55,17:20
17:50,18:17
18:47,19:10
19:46,20:08
20:39,20:57
21:16,21:33
22:02,22:20

