route_long_name,Str. C. Brancusi - P-ta M. Viteazul
service_name,Luni-Vineri
service_start,10.10.2023
in_stop_name,Disp. Alverna
out_stop_name,P-ta M. Viteazul Vest
05:07,05:08
05:25,05:22
05:40,05:40
05:55,05:55
06:10,06:10
06:28,06:25
06:46,06:43
07:00,07:02
07:09,07:16
07:18,07:26
07:24,07:37
07:30,07:46
07:36,07:55
07:46,08:04
07:56,08:12
08:08,08:19
08:16,08:26
08:25,08:33
08:34,08:40
08:43,08:48
08:52,08:57
09:01,09:07
09:11,09:17
09:20,09:27
09:29,09:37
09:38,09:46
09:47,09:56
09:57,10:05
10:06,10:15
10:15,10:24
10:24,10:33
10:33,10:42
10:43,10:51
10:52,11:01
11:05,11:10
11:18,11:22
11:31,11:35
11:44,11:48
11:57,12:01
12:10,12:14
12:23,12:27
12:36,12:40
12:49,12:53
13:00,13:07
13:10,13:18
13:20,13:28
13:30,13:38
13:40,13:48
13:49,13:58
13:58,14:08
14:07,14:17
14:16,14:27
14:25,14:36
14:34,14:45
14:43,14:54
14:52,15:03
15:01,15:12
15:10,15:21
15:19,15:30
15:28,15:39
15:37,15:48
15:46,15:57
15:55,16:06
16:04,16:15
16:13,16:24
16:22,16:33
16:31,16:42
16:40,16:51
16:49,17:00
16:58,17:09
17:08,17:18
17:20,17:28
17:32,17:38
17:44,17:50
17:58,18:02
18:12,18:16
18:26,18:30
18:40,18:44
18:53,18:57
19:06,19:10
19:19,19:23
19:37,19:36
19:55,19:54
20:13,20:12
20:31,20:30
20:49,20:48
21:07,21:06
21:25,21:24
21:40,21:40
21:55,21:55
22:15,22:10
22:35,22:30
,22:50

