route_long_name,Aleea Baisoara - P-ta M. Viteazul
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Baisoara
out_stop_name,P-ta M. Viteazul Vest
04:45,05:02
05:01,05:16
05:16,05:31
05:31,05:46
05:45,06:00
06:00,06:15
06:15,06:30
06:30,06:45
06:46,07:02
07:00,07:10
07:11,07:17
07:22,07:27
07:29,07:43
07:34,07:50
07:48,08:05
08:07,08:20
08:26,08:35
08:40,08:50
08:55,09:04
09:10,09:17
09:24,09:30
09:38,09:43
09:52,09:56
10:06,10:10
10:20,10:24
10:34,10:38
10:48,10:52
11:02,11:06
11:16,11:20
11:30,11:34
11:44,11:48
11:58,12:02
12:12,12:16
12:26,12:30
12:40,12:44
12:54,12:58
13:08,13:12
13:22,13:26
13:36,13:40
13:50,13:54
14:04,14:08
14:18,14:23
14:32,14:37
14:45,14:50
14:58,15:03
15:12,15:16
15:25,15:30
15:38,15:43
15:51,15:56
16:05,16:10
16:19,16:24
16:34,16:39
16:49,16:54
17:04,17:09
17:19,17:24
17:34,17:39
17:49,17:54
18:04,18:08
18:18,18:22
18:35,18:35
18:55,18:52
19:14,19:11
19:33,19:30
19:50,19:49
20:06,20:06
20:22,20:22
20:38,20:38
20:56,20:54
21:13,21:12
21:29,21:29
21:45,21:44
22:02,22:02
22:20,22:17
22:35,22:35
,22:55

