route_long_name,Aleea Baisoara - P-ta 1 Mai
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Baisoara
out_stop_name,P-ta 1 Mai
05:04,05:20
05:19,05:35
05:35,05:50
05:50,06:08
06:10,06:25
06:25,06:41
06:45,07:00
07:00,07:20
07:20,07:40
07:43,08:13
08:10,08:35
08:45,09:05
09:05,09:25
09:35,10:00
10:25,10:45
11:15,11:35
12:05,12:25
12:30,12:55
12:55,13:20
13:20,13:42
13:45,14:10
14:10,14:37
14:40,15:07
15:10,15:37
15:40,16:07
16:10,16:37
16:40,17:07
17:10,17:37
17:40,18:07
18:10,18:35
18:40,19:05
19:00,19:25
19:30,20:00
20:20,20:45
21:15,21:33
21:50,22:10
22:27,22:45
