route_long_name,Cart. Zorilor - P-ta Garii
service_name,Luni-Vineri
service_start,23.10.2023
in_stop_name,Disp. Zorilor
out_stop_name,P-ta Garii Noi
04:57,05:00
05:09,05:08
05:20,05:15
05:30,05:27
05:38,05:38
05:48,05:48
05:58,05:57
06:08,06:07
06:17,06:17
06:25,06:27
06:32,06:36
06:40🚲,06:44
06:48,06:51
06:57,06:59🚲
07:04,07:08
07:08,07:17
07:11,07:26
07:13,07:35
07:17,07:41
07:20,07:47
07:24🚲,07:50
07:28🚲,07:54🚲
07:32,07:58🚲
07:37🚲,08:02
07:43,08:07🚲
07:51🚲,08:13
07:59,08:19🚲
08:07,08:26
08:13,08:33
08:19,08:39
08:24,08:44
08:29🚲,08:49
08:34🚲,08:54🚲
08:39,08:59🚲
08:44🚲,09:04
08:49,09:09🚲
08:55,09:14
09:01🚲,09:20
09:07,09:26🚲
09:13,09:32
09:19,09:38
09:24,09:44
09:30🚲,09:49
09:36,09:54🚲
09:42🚲,10:00
09:48,10:06🚲
09:54,10:12
10:00🚲,10:18
10:06,10:24🚲
10:12,10:30
10:18,10:36
10:24🚲,10:42
10:30,10:48🚲
10:36🚲,10:54
10:42,11:00🚲
10:48,11:06
10:54🚲,11:12
11:00,11:18🚲
11:06,11:24
11:12,11:30
11:20🚲,11:36
11:28,11:44🚲
11:34🚲,11:52
11:40,11:58🚲
11:45🚲,12:04
11:50,12:09🚲
11:55,12:14
12:00,12:19
12:06,12:24
12:12🚲,12:30
12:18,12:36🚲
12:25🚲,12:42
12:32,12:49🚲
12:37,12:56
12:42🚲,13:02
12:47,13:07🚲
12:52,13:12
12:58,13:17
13:04🚲,13:23
13:09🚲,13:29🚲
13:14,13:34🚲
13:19🚲,13:39
13:24,13:44🚲
13:29,13:49
13:34,13:54
13:39🚲,13:59
13:44,14:04🚲
13:49,14:09
13:54,14:14
13:59🚲,14:19
14:04,14:24🚲
14:09🚲,14:29
14:14,14:34🚲
14:19🚲,14:39
14:24,14:44🚲
14:29,14:49
14:34,14:54
14:39🚲,14:59
14:44,15:04🚲
14:49,15:09
14:54,15:14
14:59🚲,15:19
15:04,15:24🚲
15:09🚲,15:29
15:14,15:34🚲
15:19🚲,15:39
15:25,15:44🚲
15:31,15:50
15:37🚲,15:56
15:43,16:02🚲
15:49,16:08
15:55🚲,16:14
16:01,16:20🚲
16:07🚲,16:26
16:13,16:32🚲
16:19🚲,16:38
16:24,16:44🚲
16:29,16:49
16:34,16:54
16:39🚲,16:59
16:44,17:04🚲
16:49,17:09
16:54,17:14
16:59🚲,17:19
17:04,17:24🚲
17:09🚲,17:29
17:15,17:34🚲
17:21🚲,17:40
17:27,17:46🚲
17:33,17:52
17:39,17:58
17:45🚲,18:04
17:51,18:10🚲
17:57,18:16
18:03🚲,18:22
18:09,18:28🚲
18:15,18:34
18:21🚲,18:40
18:27,18:46🚲
18:33,18:52
18:39🚲,18:58
18:45,19:04🚲
18:51,19:10
18:59🚲,19:16
19:07,19:22🚲
19:15🚲,19:29
19:23,19:36🚲
19:31🚲,19:44
19:39,19:52🚲
19:47,20:00
19:55🚲,20:08
20:03,20:16🚲
20:11🚲,20:24
20:19,20:32🚲
20:27🚲,20:40
20:37,20:48🚲
20:48🚲,20:57
21:00,21:08🚲
21:11,21:20
21:22,21:31
21:33🚲,21:42
21:45,21:53🚲
21:56,22:05
22:07,22:16
22:20🚲,22:27
22:33,22:45🚲
22:46,
