route_long_name,P-ta M. Viteazul - Str. Ion Ionescu de la Brad
service_name,Luni - Vineri
service_start,29.09.2023
in_stop_name,P-ta M. Viteazul Vest
out_stop_name,I. Ionescu
05:01,04:52
05:13,05:01
05:59,05:11
06:12,05:22
06:36,05:36
06:47,06:23
07:02,06:37
07:57,07:00
08:32,07:10
09:20,07:26
09:40,08:27
10:21,09:05
10:42,09:53
11:24,10:13
11:45,10:54
12:27,11:15
12:48,11:57
13:28,12:18
13:40,13:00
14:12,13:21
14:26,13:58
16:25,14:10
16:55,14:55
18:20,17:04
18:35,17:34
18:50,19:05
19:05,19:30
19:20,19:55
20:00,20:28
20:25,20:50
20:55,21:20
22:15,	
22:35,	
	

