route_long_name,P-ta M. Viteazul - Str. Emerson
service_name,Luni - Vineri
service_start,29.09.2023
in_stop_name,P-ta M. Viteazul Vest
out_stop_name,EMERSON
05:22,05:46
05:31,05:57
05:45,06:09
06:24,06:48
07:16,07:45
07:35,08:05
08:20,08:50
08:45,09:15
09:00,09:30
10:00,10:30
11:03,11:33
12:06,12:36
13:09,13:40
13:55,14:16
14:40,14:32
14:55,15:10
15:10,15:25
15:25,15:42
15:44,16:00
16:10,16:15
16:40,16:30
17:15,16:45
17:35,17:15
17:50,17:50
18:05,18:10
19:35,18:25
21:15,18:40
21:45,20:10
,21:42
,22:10




