route_long_name,P-ta M. Viteazul - Str. Romulus Vuia
service_name,Luni - Vineri
service_start,09.10.2023
in_stop_name,P-ta M. Viteazul Est
out_stop_name,Tetarom Vest
05:00,05:15
05:30,05:45
06:00,06:14
06:25,06:38
06:32,06:45
06:58,07:11
07:25,07:40
07:35,07:55
08:05,08:25
08:20,08:40
08:30,09:00
09:00,09:17
09:30,09:50
10:20,10:40
11:25,11:45
12:30,12:50
13:10,13:30
13:30,13:50
13:50,14:10
14:10,14:30
14:30,14:50
14:50,15:12
15:10,15:32
15:35,16:05
16:05,16:28
16:25,16:45
16:50,17:10
17:10,17:35
17:45,18:05
18:30,18:52
18:54,19:12
19:55,20:12
20:55,21:12
21:54,22:10
22:45,23:00
