route_long_name,P-ta M. Viteazul - Str. Vanatorului
service_name,Luni - Vineri
service_start,11.09.2023
in_stop_name,P-ta M. Viteazul Est
out_stop_name,Vanatorului
05:05,05:12
05:30,05:42
05:55,06:07
06:20,06:30
06:45,06:57
07:15,07:22
07:38,07:50
07:43,08:05
08:17,08:35
09:10,09:30
09:50,10:05
11:00,11:12
12:05,12:17
12:20,12:32
12:45,13:02
13:18,13:30
13:45,14:07
14:25,14:40
15:00,15:12
15:30,15:42
16:00,16:12
16:30,16:45
17:05,17:17
17:35,17:47
18:00,18:12
18:28,18:40
18:45,19:00
19:30,19:42
20:30,20:42
21:30,21:42
22:25,22:35

