route_long_name,P-ta M. Viteazul - Valea Chintenilor
service_name,Luni-Vineri
service_start,09.10.2023
in_stop_name,P-ta M. Viteazul Est
out_stop_name,Valea Chintaului
05:30,05:00
05:50,06:00
06:50,06:20
07:15,07:20
07:35,07:45
07:50,08:25
08:30,08:40
08:45,09:05
09:35,09:20
10:00,10:15
10:50,10:35
11:10,11:25
12:00,11:45
13:00,12:40
13:45,13:35
14:10,14:25
15:05,14:50
16:00,15:40
16:55,16:35
17:15,17:35
18:20,17:55
19:10,18:55
19:35,19:45
19:55,20:10
20:20,20:30
20:40,20:50
21:00,21:10
21:30,21:30
22:05,22:05
22:32,22:30
