route_long_name,Str. Unirii - P-ta Garii
service_name,Luni-Vineri
service_start,29.09.2023
in_stop_name,Disp. Unirii
out_stop_name,P-ta Garii Sud
04:58,05:15
05:13,05:30
05:27,05:45
05:40,06:00
05:55,06:15
06:10,06:30
06:18,06:45
06:25,07:00
06:40,07:15
06:55,07:25
07:05,07:35
07:15,07:44
07:23,07:53
07:31,08:02
07:40,08:14
07:52,08:26
08:04,08:35
08:13,08:44
08:22,08:53
08:32,09:03
08:42,09:14
08:54,09:24
09:03,09:33
09:12,09:42
09:22,09:52
09:32,09:59
09:44,10:04
09:56,10:16
10:08,10:28
10:20,10:40
10:33,10:53
10:46,11:06
10:58,11:18
11:10,11:30
11:23,11:43
11:36,11:56
11:48,12:08
12:00,12:21
12:13,12:34
12:26,12:47
12:39,13:00
12:52,13:13
13:05,13:26
13:15,13:36
13:23,13:44
13:31,13:52
13:39,14:00
13:48,14:09
13:56,14:17
14:05,14:26
14:13,14:34
14:21,14:42
14:29,14:50
14:38,14:59
14:46,15:07
14:55,15:16
15:03,15:24
15:11,15:32
15:19,15:40
15:28,15:49
15:36,15:57
15:45,16:06
15:53,16:14
16:01,16:22
16:09,16:30
16:18,16:39
16:26,16:48
16:35,16:57
16:43,17:05
16:51,17:13
16:59,17:21
17:08,17:30
17:16,17:38
17:25,17:47
17:35,17:57
17:45,18:07
17:55,18:17
18:05,18:27
18:16,18:37
18:28,18:49
18:40,19:01
18:55,19:15
19:10,19:30
19:25,19:45
19:40,20:00
19:55,20:15
20:10,20:30
20:25,20:45
20:40,21:00
20:55,21:15
21:10,21:30
21:35,21:55
21:55,22:15
22:20,22:38
22:40,22:57
