route_long_name,P-ta M. Viteazul - Str. Campului
service_name,Luni - Vineri
service_start,11.09.2023
in_stop_name,Pod Traian
out_stop_name,Biserica Campului
05:00,05:20

05:45,06:10

06:10,06:32

06:30,06:50

06:50,07:05

07:00,07:15 

07:30,07:30

08:05,07:55

08:35,08:35

09:00,09:05

09:30,09:25

09:50,09:55

10:20,10:20

10:45,10:45

11:10,11:10

11:35,11:35

12:05,12:00

12:25,12:30

12:55,12:50

13:20,13:20

13:45,13:50

14:15,14:15

14:45,14:45

15:15,15:15

15:45,15:50

16:20,16:20

16:50,16:50

17:20,17:20

17:50,17:50

18:20,18:20

18:45,18:50

19:15,19:10

19:40,19:50

20:15,20:05

21:15,20:45

22:20,21:50

,22:40



