route_long_name,Cart. Grigorescu - Calea Turzii
service_name,Luni-Vineri
service_start,29.09.2023
in_stop_name,Disp. Grigorescu
out_stop_name,Dacia Service
05:25🚲,05:55🚲
06:07,06:35
06:12🚲,06:40🚲
06:25🚲,06:55🚲
06:52,07:20
07:10,07:40
07:22🚲,08:02🚲
07:29🚲,08:11
07:36,08:20
07:44,08:30
07:54,08:40
08:03,08:50🚲
08:15🚲,09:03
08:27,09:13🚲
08:40🚲,09:30
09:00,09:55🚲
09:25🚲,10:15🚲
09:45🚲,10:40
10:10,11:15🚲
10:45🚲,11:40
11:10,12:15🚲
11:45🚲,12:40
12:10,13:15🚲
12:45🚲,13:40
13:10,13:50
13:20,14:10
13:40,14:35
14:05,14:50
14:15,15:00
14:25,15:10🚲
14:35,15:20
14:45🚲,15:40
15:10,16:05
15:35,16:15🚲
15:45🚲,16:25
15:55,16:35🚲
16:05🚲,16:50
16:20,17:05
16:30,17:15
16:40,17:25🚲
16:50🚲,17:35
17:00,17:50
17:15,18:05
17:30,18:20
17:45,18:30
17:55,18:40🚲
18:05🚲,18:55🚲
18:25🚲,19:20
18:50,19:40🚲
19:10,20:15
19:50,20:45
20:15🚲,21:15
20:45,21:40🚲
21:10🚲,22:10
21:40,22:35🚲
22:10🚲,	

