route_long_name,Cart. Zorilor - VIVO! Cluj-Napoca
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Observatorului Nord
out_stop_name,VIVO! Cluj-Napoca
07:40,07:10🚲
08:15🚲,08:10
08:40,08:40🚲
09:05🚲,09:10
09:30,09:35🚲
10:05🚲,10:05
10:35,10:35🚲
11:05🚲,11:05
11:35,11:35🚲
12:05🚲,12:05
12:35,12:35🚲
13:05🚲,13:10
13:40,13:35🚲
14:05🚲,14:10
14:35,14:40🚲
15:05🚲,15:05
15:35,15:35🚲
16:05🚲,16:10
16:35,16:40🚲
17:05🚲,17:10
17:35,17:40🚲
18:05🚲,18:05
18:35,18:35🚲
19:05🚲,19:05
19:35,19:35🚲
20:05🚲,20:05
20:30,20:35🚲
21:00🚲,21:10
21:35,21:30🚲
22:00🚲,22:10
,22:30🚲
