route_long_name,Cart. Grigorescu - Str. Unirii
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Disp. Grigorescu
out_stop_name,Disp. Unirii
05:00,05:00
05:25,05:25
05:55,05:55
06:25,06:25
06:55,06:55
07:08,07:10
07:15,07:25
07:27,07:45
07:40,07:55
08:05,08:05
08:25,08:25
08:40,08:45
08:55,09:05
09:15,09:30
09:40,09:50
10:05,10:15
10:30,10:40
10:55,11:05
11:20,11:30
11:45,11:55
12:10,12:20
12:40,12:50
13:05,13:15
13:30,13:40
13:55,14:05
14:20,14:30
14:45,14:55
15:10,15:20
15:35,15:45
16:00,16:10
16:25,16:35
16:50,17:00
17:15,17:25
17:40,17:50
18:05,18:15
18:30,18:45
19:00,19:05
19:30,19:30
19:45,20:00
20:05,20:15
20:35,20:35
20:50,21:05
21:05,21:20
21:40,21:35
22:05,22:10
22:40,22:35
