route_long_name,Cart. Zorilor - Str. Unirii
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Disp. Zorilor
out_stop_name,Disp. Unirii
05:00,05:15
05:20,05:45
05:40,06:15
06:00,06:30
06:20,06:50
06:35,07:05
06:50,07:20
07:05,07:50
07:15,08:00
07:25,08:20
07:40,08:35
08:05,08:55
08:30,09:15
08:45,09:35
09:00,09:55
09:15,10:10
09:35,10:30
09:55,10:45
10:15,11:00
10:35,11:20
10:50,11:35
11:05,11:45
11:20,12:00
11:35,12:10
11:50,12:25
12:05,12:50
12:20,13:05
12:35,13:10
12:50,13:25
13:05,13:45
13:25,14:00
13:35,14:10
13:46,14:25
14:00,14:42
14:20,15:00
14:35,15:15
14:45,15:25
15:00,15:40
15:20,16:00
15:35,16:20
15:50,16:40
16:05,17:05
16:20,17:20
16:40,17:40
17:00,18:00
17:20,18:20
17:40,18:35
18:00,18:55
18:20,19:10
18:40,19:25
19:00,19:40
19:20,19:55
19:45,20:20
20:10,20:45
20:30,21:15
20:55,21:40
21:20,22:05
21:45,22:15
22:10,22:40
22:45,
