route_long_name,Cart. Zorilor - Str. Aurel Vlaicu
service_name,Luni-Vineri
service_start,12.10.2023
in_stop_name,Disp. Zorilor
out_stop_name,Disp. IRA
05:07,05:10
05:22,05:33
05:37,05:50
06:02,06:07
06:15,06:26
06:31,06:43
06:41🚲,06:56
06:49🚲,07:07🚲
06:59,07:14🚲
07:14,07:20 
07:26,07:26
07:39🚲,07:33🚲
07:52,07:48
08:03,08:05
08:14🚲,08:15🚲
08:25,08:26
08:36,08:37
08:48🚲,08:48🚲
09:00,09:00
09:15🚲,09:20🚲
09:32,09:40🚲
09:50🚲,10:00
10:10🚲,10:20🚲
10:32,10:40🚲
10:50🚲,11:00
11:10🚲,11:20🚲
11:30,11:40🚲
11:48🚲,12:00
12:10🚲,12:20🚲
12:30,12:40🚲
12:48🚲,13:00
13:08🚲,13:14🚲
13:21,13:26
13:31,13:40🚲
13:40,13:50
13:50🚲,14:02
14:00,14:10
14:10🚲,14:20🚲
14:21,14:30
14:32,14:40🚲
14:40,14:50
14:50🚲,15:00
15:00,15:08
15:10🚲,15:18🚲
15:20,15:28
15:32,15:38🚲
15:40,15:48
15:50🚲,16:00
16:01,16:10
16:10🚲,16:20🚲
16:20,16:30
16:32,16:40🚲
16:44,16:50
16:56🚲,17:02
17:08,17:14
17:19🚲,17:26🚲
17:32,17:38
17:44,17:50🚲
17:56,18:05
18:08🚲,18:20
18:18,18:40
18:30🚲,19:00🚲
18:50,19:20
19:10🚲,19:40🚲
19:30🚲,20:00🚲
19:50,20:15
20:10🚲,20:35🚲
20:35🚲,21:05🚲
21:08🚲,21:35🚲
21:38🚲,22:05🚲
22:05🚲,22:30🚲
22:30🚲,
