route_long_name,Str. Harghitei - P-ta M. Viteazul
service_name,Luni-Vineri
service_start,11.09.2023
in_stop_name,Jiului
out_stop_name,P-ta M. Viteazul Vest
04:50,05:08
05:01,05:20
05:12,05:32
05:25,05:43
05:38,05:55
05:50,06:07
06:00,06:17
06:10,06:27
06:20,06:37
06:30,06:47
06:40,06:58
06:50,07:08
07:00,07:18
07:08,07:28
07:14,07:36
07:20,07:44
07:26,07:52
07:33,08:00
07:42,08:10
07:54,08:20
08:04,08:30
08:12,08:38
08:20,08:46
08:28,08:54
08:38,09:02
08:48,09:12
09:00,09:24
09:12,09:36
09:24,09:48
09:36,10:00
09:48,10:12
10:00,10:23
10:15,10:38
10:30,10:53
10:45,11:08
11:00,11:23
11:15,11:38
11:30,11:53
11:45,12:08
12:00,12:23
12:12,12:36
12:24,12:48
12:36,13:00
12:48,13:12
13:00,13:24
13:09,13:35
13:18,13:46
13:28,13:56
13:38,14:06
13:48,14:15
13:58,14:24
14:07,14:33
14:16,14:42
14:26,14:52
14:36,15:02
14:44,15:10
14:53,15:19
15:02,15:28
15:11,15:37
15:21,15:47
15:31,15:57
15:40,16:06
15:49,16:15
15:58,16:24
16:07,16:33
16:16,16:42
16:26,16:52
16:36,17:02
16:44,17:10
16:53,17:20
17:02,17:29
17:11,17:38
17:21,17:48
17:31,17:58
17:40,18:06
17:48,18:14
18:00,18:26
18:12,18:38
18:24,18:50
18:36,19:01
18:48,19:12
19:00,19:24
19:12,19:36
19:24,19:48
19:36,20:00
19:48,20:10
20:00,20:20
20:15,20:35
20:30,20:50
20:45,21:05
21:05,21:25
21:25,21:45
21:45,22:05
22:05,22:25
22:28,22:45

