route_long_name,Aleea Baisoara - B-dul Muncii
service_name,Luni-Vineri
service_start,23.10.2023
in_stop_name,Baisoara
out_stop_name,Disp. ERS CUG
05:03,05:00
05:12,05:15
05:33,05:28
05:59,05:40
06:10,06:04
06:21,06:27
06:32,06:38
06:43,06:50
06:54,07:00
07:30,07:10
07:47,07:26
08:30,08:10
08:42,08:25
08:54,09:15
09:10,09:25
09:30,09:40
09:50,10:00
10:10,10:20
10:30,10:40
10:50,11:00
11:10,11:20
11:30,11:40
11:50,12:00
12:10,12:20
12:30,12:40
12:50,12:58
13:23,13:10
13:42,13:25
13:55,14:02
14:08,14:12
14:22,14:30
14:34,14:42
14:46,14:54
15:00,15:10
15:12,15:20
15:24,15:35
15:48,15:48
16:00,16:05
16:40,16:30
16:55,16:39
17:20,17:20
17:45,17:35
18:00,18:00
18:15,18:25
18:30,18:37
18:45,18:55
19:05,19:15
19:20,19:35
20:05,19:55
20:25,20:35
20:45,21:00
21:10,21:15
22:05,21:37
22:38,22:30

