route_long_name,Str. Aurel Vlaicu - P-ta Garii
service_name,Luni-Vineri
service_start,18.10.2023
in_stop_name,Disp. IRA
out_stop_name,P-ta Garii Sud
04:38,05:20
04:53,06:10
05:00,06:34
05:07,07:00
05:21,07:29
05:44,08:00
05:48,08:19
06:37,08:44
07:04,09:05
07:30,09:41
07:51,10:29
08:21,11:17
08:43,12:05
09:17,12:53
09:36,13:55
10:06,14:20
10:54,14:44
11:42,15:09
12:30,15:34
13:30,16:00
13:55,16:26
14:20,16:52
14:44,17:19
15:11,17:44
15:35,18:10
16:01,18:35
16:27,19:00
16:54,19:48
17:19,20:38
17:45,21:28
18:11,22:08
18:36,22:16
19:25,22:24
20:16,22:36
21:06,22:56
21:54,23:03



