route_long_name,P-ta Garii - Str.Traian Vuia
service_name, Luni - Vineri
service_start,18.10.2023
in_stop_name,P-ta Garii Sud
out_stop_name,Electromontaj
04:58,05:25
05:13,05:42
05:27,05:56
05:41,06:10
05:53,06:23
06:04,06:36
06:15,06:48
06:27,07:00
06:41,07:13
06:54,07:27
07:08,07:45
07:23,08:00
07:38,08:12
07:54,08:24
08:10,08:36
08:25,08:48
08:37,09:00
08:49,09:12
09:00,09:24
09:11,09:36
09:23,09:50
09:35,10:01
09:47,10:12
09:59,10:24
10:11,10:36
10:23,10:47
10:35,11:00
10:47,11:12
10:59,11:24
11:11,11:36
11:23,11:48
11:35,12:02
11:47,12:12
11:59,12:24
12:11,12:36
12:23,12:48
12:35,12:58
12:47,13:12
13:00,13:24
13:12,13:37
13:25,13:49
13:37,14:02
13:49,14:14
14:01,14:27
14:14,14:39
14:26,14:52
14:38,15:04
14:50,15:17
15:03,15:30
15:15,15:42
15:28,15:55
15:41,16:08
15:54,16:21
16:07,16:34
16:20,16:47
16:33,17:00
16:46,17:13
16:59,17:26
17:12,17:39
17:25,17:52
17:38,18:05
17:51,18:18
18:03,18:30
18:16,18:42
18:28,18:54
18:41,19:06
18:54,19:18
19:06,19:31
19:18,19:43
19:30,19:56
19:42,20:09
19:54,20:21
20:07,20:34
20:19,20:47
20:32,21:00
20:45,21:12
20:57,21:24
21:09,21:36
21:22,21:48
21:34,22:00
21:46,22:11
21:57,22:22
22:50,22:34
,22:50

