route_long_name,Str. Bucium - Str. Aurel Vlaicu
service_name,Luni-Vineri
service_start,11.10.2023
in_stop_name,Disp. Clabucet
out_stop_name,Disp. IRA
04:30,04:30
04:58,05:02
05:07,05:15
05:16,05:25
05:25,05:35
05:35,05:44
05:45,05:53
05:52,06:03
05:59,06:12
06:05,06:20
06:10,06:26
06:15,06:30
06:20,06:35
06:25,06:40
06:31,06:45
06:36,06:50
06:41,06:55
06:46,07:00
06:51,07:05
06:56,07:10
07:00,07:15
07:04,07:18
07:08,07:22
07:12,07:25
07:16,07:29
07:20,07:35
07:23,07:39
07:27,07:44
07:31,07:48
07:37,07:53
07:42,07:58
07:48,08:03
07:54,08:07
08:00,08:12
08:06,08:17
08:12,08:22
08:17,08:26
08:22,08:32
08:27,08:37
08:32,08:42
08:37,08:47
08:42,08:52
08:47,08:57
08:52,09:02
08:57,09:07
09:02,09:12
09:07,09:17
09:12,09:22
09:17,09:27
09:22,09:32
09:27,09:37
09:32,09:42
09:38,09:47
09:43,09:52
09:48,09:57
09:55,10:02
10:01,10:07
10:08,10:12
10:15,10:17
10:21,10:22
10:27,10:28
10:33,10:35
10:39,10:42
10:45,10:49
10:51,10:55
10:58,11:01
11:05,11:07
11:13,11:14
11:20,11:20
11:27,11:26
11:34,11:33
11:40,11:40
11:46,11:47
11:52,11:54
11:59,12:01
12:05,12:08
12:11,12:14
12:18,12:20
12:26,12:26
12:32,12:33
12:38,12:40
12:43,12:47
12:48,12:54
12:53,13:01
12:58,13:07
13:03,13:12
13:08,13:17
13:12,13:22
13:16,13:27
13:21,13:32
13:25,13:38
13:30,13:43
13:35,13:48
13:40,13:54
13:45,14:00
13:50,14:04
13:55,14:08
14:00,14:12
14:05,14:16
14:10,14:20
14:15,14:25
14:20,14:30
14:25,14:35
14:30,14:40
14:34,14:45
14:38,14:50
14:43,14:55
14:48,15:01
14:53,15:05
14:58,15:10
15:03,15:15
15:08,15:20
15:13,15:24
15:18,15:28
15:23,15:33
15:27,15:38
15:31,15:43
15:35,15:48
15:39,15:53
15:43,15:58
15:48,16:02
15:53,16:06
15:58,16:10
16:03,16:14
16:08,16:18
16:13,16:23
16:18,16:28
16:23,16:33
16:28,16:38
16:32,16:43
16:36,16:48
16:40,16:53
16:44,16:58
16:48,17:03
16:53,17:07
16:58,17:11
17:03,17:15
17:08,17:19
17:12,17:23
17:17,17:28
17:23,17:33
17:28,17:38
17:33,17:43
17:38,17:48
17:44,17:53
17:50,17:58
17:56,18:03
18:02,18:08
18:09,18:13
18:16,18:19
18:23,18:25
18:30,18:31
18:36,18:37
18:42,18:44
18:48,18:51
18:54,18:58
19:01,19:05
19:08,19:11
19:16,19:17
19:24,19:23
19:31,19:29
19:38,19:36
19:47,19:43
19:55,19:51
20:02,20:00
20:08,20:10
20:15,20:20
20:25,20:30
20:35,20:42
20:45,20:53
20:55,21:04
21:06,21:15
21:18,21:26
21:30,21:38
21:42,21:50
21:54,22:02
22:07,22:12
22:20,22:24
22:33,22:36
22:45,22:48
