route_long_name,Str. Aurel Vlaicu - Str. Izlazului
service_name,Luni-Vineri
service_start,29.09.2023
in_stop_name,Disp. IRA
out_stop_name,Izlazului
06:00,06:25
06:10,06:35
06:24,06:51
06:36,07:03
06:48,07:16
06:58,07:27
07:08,07:38
07:20,07:50
07:32,08:02
07:42,08:14
07:55,08:26
08:05,08:36
08:15,08:47
08:29,08:59
08:40,09:11
08:54,09:23
09:05,09:35
09:15,09:45
13:04,13:35
13:19,13:49
13:35,14:04
13:46,14:18
14:02,14:32
14:14,14:46
14:28,15:00
14:42,15:14
14:58,15:28
15:12,15:42
15:26,15:56
15:40,16:10
15:51,16:24
16:08,16:38
16:21,16:52
16:36,17:07
16:50,17:22
17:05,17:37
17:21,17:52
17:35,18:07
17:50,18:22
18:05,18:37
18:22,18:53
