route_long_name,Str: Bucium - P-ta Garii
service_name,Luni-Vineri
service_start,16.10.2023
in_stop_name,Disp. Bucium
out_stop_name,P-ta Garii Sud
05:02,05:00
05:14,05:11
05:24,05:22
05:35,05:33
05:46,05:44
05:57,05:55
06:08,06:06
06:18,06:17
06:28,06:28
06:38,06:35
06:46,06:43
06:54,06:52
07:00,07:00
07:05,07:08
07:10,07:16
07:15,07:22
07:20,07:29
07:25,07:35
07:30,07:41
07:36,07:47
07:43,07:53
07:51,07:59
07:58,08:06
08:05,07:12
08:12,08:19
08:17,08:26
08:22,08:32
08:27,08:38
08:32,08:43
08:37,08:48
08:42,08:53
08:47,08:58
08:52,09:04
08:57,09:09
09:02,09:14
09:09,09:20
09:16,09:27
09:23,09:34
09:30,09:41
09:36,09:48
09:43,09:55
09:50,10:01
09:57,10:07
10:04,10:14
10:11,10:21
10:18,10:28
10:18,10:35
10:24,10:42
10:32,10:48
10:40,10:56
10:48,11:04
10:56,11:12
11:04,11:20
11:12,11:28
11:20,11:36
11:28,11:44
11:36,11:52
11:44,12:00
11:52,12:08
12:00,12:16
12:08,12:24
12:16,12:32
12:24,12:40
12:32,12:48
12:40,12:56
12:48,13:04
12:56,13:09
13:04,13:14
13:12,13:21
13:18,13:29
13:24,13:37
13:30,13:43
13:36,13:49
13:42,13:55
13:48,14:01
13:55,14:07
14:01,14:13
14:07,14:19
14:13,14:25
14:20,14:31
14:26,14:37
14:32,14:44
14:38,14:50
14:44,14:56
14:52,15:02
15:00,15:09
15:08,15:16
15:16,15:24
15:24,15:32
15:32,15:40
15:40,15:48
15:48,15:57
15:57,16:05
16:06,16:13
16:14,16:22
16:22,16:31
16:30,16:39
16:37,16:47
16:45,16:55
16:52,17:02
16:59,17:10
17:07,17:17
17:15,17:25
17:23,17:32
17:31,17:40
17:39,17:48
17:47,17:56
17:56,18:04
18:05,18:12
18:14,18:21
18:23,18:30
18:30,18:40
18:38,18:50
18:47,19:00
18:56,19:10
19:05,19:19
19:14,19:28
19:23,19:37
19:32,19:46
19:41,19:55
19:50,20:05
20:00,20:15
20:10,20:25
20:20,20:35
20:30,20:45
20:40,20:57
20:50,21:10
21:00,21:20
21:10,21:30
21:24,21:44
21:38,21:58
21:52,22:12
22:06,22:26
22:20,22:39
22:34,22:52
22:47,



