route_long_name,Bucium - Floresti Cetate
service_name,Luni-Vineri
service_start,16.10.2023
in_stop_name,Disp. Bucium
out_stop_name,M-Floresti Cetate Pl.
04:45,04:43
05:00,05:05
05:12,05:20
05:25,05:32
05:35,05:44
05:42,05:55
05:47,06:02
05:52,06:06
05:59,06:10
06:08,06:15
06:20,06:22
06:32,06:33
06:50,06:48
07:15,07:03
07:50,07:20
08:07,07:40
08:20,07:52
08:33,08:05
08:40,08:18
08:55,08:32
09:10,08:45
09:25,08:58
09:38,09:10
09:52,09:21
10:06,09:32
10:20,09:44
10:37,09:55
10:49,10:03
11:02,10:18
11:15,10:32
11:28,10:50
11:41,11:00
11:54,11:13
12:07,11:27
12:20,11:40
12:30,11:54
12:44,12:07
12:55,12:18
13:07,12:32
13:18,12:47
13:30,13:04
13:38,13:20
13:46,13:35
13:55,13:45
14:05,13:56
14:15,14:04
14:22,14:13
14:30,14:22
14:38,14:30
14:46,14:39
14:55,14:48
15:05,14:57
15:14,15:05
15:22,15:13
15:28,15:22
15:35,15:31
15:42,15:40
15:54,15:49
16:05,15:58
16:15,16:09
16:26,16:21
16:36,16:32
16:47,16:43
16:58,16:54
17:10,17:05
17:22,17:17
17:35,17:28
17:47,17:40
17:58,17:52
18:10,18:05
18:22,18:15
18:35,18:25
18:45,18:35
19:05,18:40
19:25,18:55
19:45,19:03
20:00,19:13
20:15,19:25
20:35,19:33
20:50,19:43
21:05,19:53
21:20,20:10
21:40,20:25
22:10,20:40
22:35,21:00
22:55,21:15
,21:30
,21:45
,22:05
,22:30
,22:50
,22:55
,23:05
,23:10






