route_long_name,P-ta M.Viteazul - Comuna Baciu
service_name,Luni-Vineri
service_start,18.10.2023
in_stop_name,P-ta M. Viteazul Est
out_stop_name,M-Complex Baciu
05:03,05:00
05:23,05:08
05:32,05:22
05:50,05:46
06:00,05:58
06:06,06:12
06:10,06:23
06:18,06:32
06:26,06:40
06:31,06:46
06:52,06:52
07:00,06:58
07:20,07:04
07:40,07:20
08:06,07:35
08:20,07:55
08:30,08:15
08:53,08:35
09:03,08:50
09:18,09:05
09:35,09:18
09:45,09:34
10:03,09:44
10:13,10:02
10:30,10:14
10:41,10:30
11:00,10:45
11:18,11:00
11:34,11:15
11:46,11:30
12:06,11:45
12:15,12:05
12:34,12:14
12:43,12:34
13:02,12:44
13:16,13:03
13:30,13:13
13:44,13:32
13:54,13:45
14:08,14:05
14:22,14:14
14:36,14:29
14:50,14:42
15:05,14:55
15:20,15:10
15:35,15:25
15:50,15:40
16:05,15:55
16:20,16:10
16:35,16:25
16:48,16:40
17:02,16:55
17:18,17:10
17:35,17:22
17:55,17:35
18:10,17:50
18:35,18:04
18:55,18:20
19:15,18:40
19:35,19:00
20:10,19:20
20:30,19:40
21:10,20:00
21:40,20:35
22:05,21:08
22:35,21:35
,22:05
,22:30
,22:53


