route_long_name,Str. Aurel Vlaicu - Apahida
service_name,Luni-Vineri
service_start,12.10.2023
in_stop_name,Maresal C-tin Prezan
out_stop_name,M-Pod Apahida V
04:30,05:00
04:40,05:10
04:54,05:22
05:07,05:35
05:20,05:50
05:40,06:12
05:45,06:18
05:55,06:24
06:00,06:36
06:21,06:55
06:47,07:32
07:50,08:30
08:25,09:05
08:40,09:20
08:55,09:35
09:10,09:50
09:45,10:20
10:10,10:50
11:00,11:40
11:25,12:05
12:15,12:50
12:55,13:05
13:10,13:30
13:26,13:45
13:53,14:00
14:08,14:30
14:16,14:40
14:24,14:50
15:05,15:00
15:20,15:45
15:30,16:00
16:10,16:10
16:20,16:50
16:55,17:05
17:15,17:35
17:30,17:55
18:10,18:10
18:35,18:50
19:25,19:15
20:15,20:05
21:50,20:50
,22:25


